0.411000,0.206000,0.781000,-4.580000,-0.840000,-3.695000
0.419000,0.215000,0.780000,-4.458000,-0.260000,-2.855000
0.416000,0.209000,0.778000,-3.527000,-0.061000,-2.076000
0.404000,0.209000,0.779000,-3.160000,0.275000,-1.832000
0.395000,0.221000,0.773000,-3.252000,1.435000,-1.740000
0.396000,0.219000,0.787000,-4.260000,1.176000,-1.863000
0.412000,0.215000,0.764000,-4.870000,2.748000,-1.954000
0.407000,0.224000,0.777000,-5.405000,3.603000,-1.557000
0.406000,0.216000,0.780000,-6.580000,4.290000,-1.405000
0.413000,0.219000,0.788000,-7.405000,4.427000,-1.206000
0.405000,0.208000,0.782000,-7.527000,4.198000,-0.992000
0.420000,0.212000,0.762000,-6.901000,5.053000,-0.336000
0.421000,0.210000,0.763000,-6.092000,5.786000,0.626000
0.407000,0.204000,0.776000,-5.969000,5.969000,0.977000
0.399000,0.195000,0.778000,-6.321000,5.786000,0.534000
0.385000,0.206000,0.771000,-6.687000,6.870000,0.947000
0.376000,0.201000,0.770000,-6.672000,7.603000,1.756000
0.362000,0.180000,0.810000,-5.435000,7.924000,2.214000
0.354000,0.171000,0.835000,-3.847000,6.611000,1.863000
0.400000,0.173000,0.817000,-3.481000,4.183000,1.282000
0.354000,0.162000,0.846000,-3.863000,4.000000,-1.496000
0.381000,0.175000,0.812000,-4.931000,3.924000,-3.511000
0.398000,0.194000,0.788000,-5.771000,3.634000,-4.015000
0.392000,0.216000,0.792000,-4.580000,4.031000,-2.580000
0.403000,0.249000,0.782000,-4.885000,5.252000,0.229000
0.385000,0.237000,0.807000,-5.313000,6.214000,2.794000
0.374000,0.216000,0.815000,-5.847000,6.718000,4.153000
0.367000,0.206000,0.842000,-6.168000,6.168000,4.519000
0.352000,0.191000,0.862000,-7.313000,3.908000,3.298000
0.373000,0.175000,0.823000,-9.176000,2.336000,0.672000
0.390000,0.186000,0.788000,-9.771000,2.015000,-0.183000
0.387000,0.202000,0.788000,-9.008000,2.351000,0.733000
0.381000,0.201000,0.796000,-6.489000,2.504000,2.885000
0.369000,0.190000,0.813000,-4.824000,2.046000,4.443000
0.334000,0.163000,0.832000,-4.427000,0.443000,4.153000
0.328000,0.158000,0.842000,-4.947000,-0.198000,2.504000
0.311000,0.155000,0.875000,-5.893000,-2.397000,0.748000
0.342000,0.157000,0.846000,-6.656000,-4.519000,-0.489000
0.359000,0.176000,0.812000,-6.779000,-5.557000,-0.931000
0.383000,0.172000,0.789000,-6.656000,-5.176000,-0.656000
0.388000,0.177000,0.781000,-5.389000,-5.313000,-0.366000
0.401000,0.190000,0.769000,-5.038000,-4.183000,-0.183000
0.413000,0.211000,0.769000,-5.573000,-3.084000,0.015000
0.406000,0.217000,0.777000,-6.534000,-1.664000,0.931000
0.390000,0.212000,0.823000,-6.779000,-1.679000,1.420000
0.349000,0.227000,0.865000,-6.733000,-3.725000,1.802000
0.305000,0.230000,0.891000,-8.565000,-4.641000,0.366000
0.235000,0.280000,0.988000,-12.305000,-8.336000,-2.061000
0.117000,0.340000,1.110000,-14.336000,-12.626000,-3.679000
0.059000,0.447000,1.281000,-15.099000,-24.168000,0.672000
-0.026000,0.503000,1.364000,-16.992000,-37.847000,7.756000
-0.065000,0.505000,1.409000,-21.374000,-52.534000,15.618000
-0.140000,0.471000,1.391000,-25.130000,-66.046000,21.969000
-0.278000,0.497000,1.507000,-29.069000,-77.924000,26.061000
-0.473000,0.552000,1.673000,-33.145000,-91.725000,29.435000
-0.731000,0.708000,2.079000,-34.489000,-117.908000,38.107000
-0.947000,0.815000,2.337000,-36.153000,-154.183000,53.328000
-1.163000,0.886000,2.554000,-36.824000,-201.893000,71.328000
-1.294000,0.882000,2.611000,-40.687000,-257.725000,89.237000
-1.469000,0.741000,2.635000,-56.504000,-320.015000,96.656000
-1.574000,0.645000,2.528000,-83.359000,-394.229000,93.756000
-1.576000,0.435000,1.921000,-109.802000,-454.977000,81.954000
-1.445000,0.210000,1.189000,-123.069000,-488.244000,62.458000
-1.334000,0.032000,0.827000,-123.420000,-500.275000,37.206000
-1.295000,0.040000,0.767000,-117.176000,-500.275000,17.405000
-1.243000,0.016000,0.455000,-97.023000,-500.275000,9.908000
-1.287000,-0.001000,0.329000,-73.008000,-500.275000,8.626000
-1.217000,0.029000,-0.249000,-53.527000,-500.275000,12.366000
-1.017000,0.306000,-0.576000,-60.031000,-500.275000,17.374000
-0.832000,0.482000,-0.993000,-75.939000,-500.275000,33.634000
-0.507000,0.594000,-1.513000,-95.496000,-500.275000,54.489000
-0.267000,0.524000,-1.790000,-96.962000,-500.275000,77.496000
-0.317000,0.386000,-1.810000,-66.473000,-494.229000,109.710000
-0.336000,-0.045000,-2.219000,-11.817000,-466.519000,141.954000
-0.326000,-0.585000,-2.523000,42.275000,-429.206000,138.824000
-0.333000,-0.803000,-2.432000,58.702000,-391.695000,105.511000
-0.330000,-0.551000,-2.306000,20.565000,-361.206000,63.084000
-0.168000,-0.322000,-2.438000,-65.969000,-322.534000,25.038000
0.110000,-0.079000,-2.638000,-136.672000,-273.496000,3.893000
0.263000,0.050000,-2.534000,-147.908000,-233.710000,17.313000
0.324000,-0.130000,-2.466000,-107.603000,-210.534000,45.695000
0.288000,-0.444000,-2.312000,-53.176000,-193.908000,62.244000
0.265000,-0.721000,-2.185000,-13.573000,-178.183000,53.221000
0.251000,-0.754000,-1.955000,6.305000,-163.924000,26.290000
0.250000,-0.559000,-1.710000,11.099000,-158.183000,0.779000
0.365000,-0.320000,-1.776000,4.244000,-152.687000,-14.305000
0.509000,-0.164000,-1.916000,-13.008000,-132.412000,-21.374000
0.558000,-0.022000,-1.908000,-31.908000,-108.916000,-22.061000
0.593000,0.066000,-1.896000,-43.084000,-88.718000,-14.763000
0.592000,0.037000,-1.818000,-45.847000,-73.115000,-4.855000
0.626000,-0.026000,-1.793000,-42.748000,-58.183000,1.466000
0.613000,-0.081000,-1.708000,-33.939000,-44.168000,5.206000
0.624000,-0.123000,-1.621000,-21.542000,-33.618000,8.214000
0.595000,-0.137000,-1.500000,-9.725000,-26.947000,9.435000
0.604000,-0.168000,-1.479000,-0.656000,-21.206000,8.840000
0.593000,-0.175000,-1.422000,4.092000,-13.588000,6.092000
0.599000,-0.144000,-1.350000,3.756000,-9.542000,3.771000
0.622000,-0.134000,-1.357000,0.595000,-3.130000,1.206000
0.624000,-0.129000,-1.312000,-3.008000,3.985000,-1.389000
0.572000,-0.112000,-1.202000,-5.985000,6.290000,-3.130000
0.570000,-0.105000,-1.158000,-8.336000,7.053000,-5.420000
