0.034000,0.054000,0.905000,-6.137000,3.305000,-0.664000
0.031000,0.060000,0.912000,-5.443000,2.427000,-0.389000
0.039000,0.049000,0.888000,-6.137000,2.298000,-0.718000
0.042000,0.053000,0.908000,-6.046000,2.244000,-0.710000
0.038000,0.058000,0.898000,-5.725000,2.069000,-0.618000
0.044000,0.056000,0.883000,-5.969000,1.916000,-0.420000
0.046000,0.067000,0.888000,-5.168000,2.221000,0.183000
0.056000,0.062000,0.873000,-5.336000,2.145000,0.107000
0.064000,0.054000,0.855000,-6.023000,2.962000,0.206000
0.056000,0.055000,0.867000,-5.817000,3.397000,0.160000
0.071000,0.040000,0.845000,-6.473000,4.153000,-0.031000
0.082000,0.053000,0.811000,-6.954000,5.542000,-0.298000
0.095000,0.054000,0.808000,-7.336000,7.244000,-0.328000
0.122000,0.053000,0.743000,-8.664000,9.725000,-0.550000
0.152000,0.056000,0.698000,-9.679000,13.389000,-0.924000
0.188000,0.042000,0.635000,-11.214000,18.565000,-1.313000
0.204000,0.064000,0.589000,-12.000000,24.664000,-1.389000
0.164000,0.077000,0.681000,-16.893000,27.969000,-2.145000
0.122000,0.033000,0.753000,-19.565000,31.580000,-3.901000
0.059000,0.052000,0.772000,-19.931000,33.466000,-3.992000
0.081000,0.061000,0.733000,-20.260000,36.985000,-3.786000
0.013000,0.072000,0.846000,-23.305000,36.939000,-2.802000
0.061000,0.039000,0.759000,-25.908000,39.412000,-3.359000
0.099000,0.003000,0.693000,-26.389000,44.664000,-4.771000
0.085000,-0.011000,0.708000,-24.466000,49.046000,-4.565000
0.130000,-0.038000,0.621000,-20.122000,56.542000,-4.053000
0.179000,-0.027000,0.522000,-13.107000,67.092000,-3.168000
0.080000,0.038000,0.646000,-13.427000,75.084000,-2.550000
-0.067000,0.045000,0.865000,-15.939000,75.802000,-2.969000
-0.061000,0.015000,0.805000,-15.924000,77.260000,-3.389000
-0.020000,0.055000,0.675000,-15.122000,82.679000,-2.832000
0.031000,0.029000,0.615000,-10.870000,91.351000,0.244000
-0.086000,0.018000,0.811000,-8.718000,96.939000,0.588000
-0.217000,0.047000,1.046000,-14.153000,93.786000,1.641000
-0.288000,0.023000,1.104000,-13.702000,91.076000,-0.931000
-0.432000,-0.024000,1.182000,-16.733000,83.924000,-1.076000
-0.451000,-0.063000,1.173000,-13.389000,75.305000,-2.489000
-0.455000,-0.007000,1.219000,-13.214000,68.107000,-3.519000
-0.433000,0.013000,1.187000,-10.053000,59.656000,-0.137000
-0.374000,0.110000,1.055000,-7.244000,54.130000,1.511000
-0.315000,0.017000,0.958000,-15.649000,50.359000,-0.351000
-0.248000,-0.029000,0.892000,-7.511000,48.603000,-1.092000
-0.752000,0.417000,1.613000,-43.061000,33.046000,-0.969000
-0.454000,-0.264000,1.032000,-29.336000,23.275000,-6.282000
-0.346000,-0.225000,0.992000,-25.053000,15.840000,-4.931000
-0.369000,-0.183000,1.078000,-10.588000,10.015000,-3.206000
-0.335000,-0.018000,0.959000,-8.924000,5.985000,-1.183000
-0.270000,-0.035000,0.873000,-7.359000,4.145000,0.160000
-0.278000,-0.018000,0.886000,-6.489000,2.382000,0.443000
-0.250000,-0.028000,0.863000,-5.893000,1.580000,0.542000
-0.238000,-0.015000,0.838000,-5.221000,1.679000,0.275000
-0.239000,0.005000,0.850000,-5.519000,1.947000,0.427000
-0.235000,-0.015000,0.845000,-6.244000,2.626000,0.252000
-0.230000,-0.011000,0.848000,-6.122000,2.924000,-0.031000
-0.234000,-0.002000,0.847000,-6.420000,3.802000,-0.405000
-0.236000,-0.003000,0.843000,-7.130000,4.229000,-0.725000
-0.248000,-0.013000,0.861000,-7.664000,4.542000,-0.802000
-0.253000,-0.023000,0.864000,-7.847000,4.756000,-1.206000
-0.256000,-0.001000,0.861000,-7.672000,4.015000,-0.908000
-0.258000,-0.015000,0.870000,-7.076000,3.794000,-1.038000
-0.260000,-0.028000,0.861000,-7.084000,2.947000,-0.664000
-0.270000,-0.020000,0.874000,-6.397000,2.634000,-0.443000
-0.271000,-0.035000,0.874000,-5.794000,1.534000,-0.458000
-0.259000,-0.013000,0.858000,-6.076000,0.863000,-0.176000
-0.248000,-0.001000,0.847000,-5.267000,1.168000,-0.214000
-0.244000,-0.014000,0.845000,-5.824000,1.427000,-0.397000
-0.243000,-0.005000,0.846000,-6.099000,1.656000,-0.855000
-0.249000,-0.004000,0.851000,-6.282000,2.130000,-0.878000
-0.253000,-0.010000,0.860000,-6.206000,2.092000,-0.802000
-0.254000,-0.018000,0.850000,-6.305000,2.084000,-0.824000
-0.255000,-0.017000,0.863000,-6.237000,1.977000,-0.809000
-0.265000,-0.023000,0.862000,-5.580000,1.664000,-0.534000
-0.256000,-0.021000,0.863000,-5.855000,1.412000,-0.656000
-0.251000,-0.017000,0.853000,-5.313000,1.305000,-0.458000
-0.252000,-0.009000,0.852000,-5.275000,1.389000,-0.626000
